Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
20-30,45,21.01111,24.75,1.78813,0.22309,0.90129,9.68789,9.54772,6.85536
20-30,46,21.26143,25.06,1.82548,0.22688,0.92225,9.8958,9.75166,6.96594
20-30,47,21.515,25.37,1.86344,0.23015,0.94432,10.10786,9.96111,7.07663
20-30,48,21.77195,25.69,1.90295,0.23414,0.96712,10.32039,10.17534,7.1894
20-30,49,22.03222,26.02,1.94272,0.23864,0.99009,10.54005,10.39106,7.30655
20-30,50,22.29667,26.35,1.98466,0.24343,1.01353,10.76309,10.61187,7.42438
20-30,51,22.55795,26.68,2.02686,0.2487,1.0374,10.99155,10.84012,7.54491
20-30,52,22.82444,27.03,2.06957,0.2547,1.06265,11.22041,11.06913,7.66874
20-30,53,23.10299,27.37,2.11463,0.26154,1.08884,11.45417,11.30319,7.79589
20-30,54,23.385,27.73,2.1604,0.26901,1.11613,11.69326,11.54367,7.9263
20-30,55,23.66667,28.09,2.20666,0.27653,1.14471,11.93748,11.7875,8.05979
20-30,56,23.95727,28.46,2.25529,0.28352,1.17427,12.18795,12.03724,8.19713
20-30,57,24.24636,28.83,2.30616,0.29029,1.20553,12.4413,12.28808,8.33657
20-30,58,24.54573,29.21,2.35728,0.29866,1.23832,12.70012,12.54943,8.48179
20-30,59,24.8475,29.61,2.41101,0.3109,1.27338,12.96566,12.81468,8.62959
20-30,60,25.15571,30.0,2.46695,0.33977,1.31041,13.23196,13.08159,8.78121
20-30,61,25.46601,30.41,2.52471,0.37057,1.35123,13.50273,13.35396,8.93761
20-30,62,25.78714,30.82,2.58421,0.40205,1.39369,13.78078,13.63276,9.0953
20-30,63,26.11759,31.25,2.64673,0.44767,1.43928,14.05943,13.9166,9.25886
20-30,64,26.45199,31.69,2.7104,0.49527,1.48836,14.3489,14.20581,9.42668
20-30,65,26.7925,32.13,2.7791,0.54144,1.54335,14.6388,14.50231,9.59827
20-30,66,27.1425,32.6,2.84914,0.59812,1.60502,14.93544,14.79677,9.78033
20-30,67,27.49375,33.07,2.92249,0.65089,1.67604,15.23414,15.09976,9.97046
